Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.3-10.0.0.1-37398-80-6,10.0.0.3,37398,10.0.0.1,80,6,16/12/2025 11:30:11 AM,1044566,5,5,72.0,231.0,72.0,0.0,14.4,32.19937887599697,186.0,0.0,46.2,80.5431561338392,290.07262346275866,9.573353909662002,116062.88888888888,229685.03759085207,715923.0,12.0,983092.0,245772.99999999997,349437.505626781,763699.0,183.0,1044471.0,261117.75,306493.0936333096,715923.0,47796.0,0,0,0,0,168,168,4.786676954831001,4.786676954831001,0.0,186.0,27.545454545454543,57.8435193195636,3345.8727272727274,1,2,0,3,9,0,0,0,1.0,30.3,14.4,46.2,0,0,0,0,0,0,0,0,0,0,42340,85,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.3-10.0.0.1-37324-80-6,10.0.0.3,37324,10.0.0.1,80,6,16/12/2025 11:30:10 AM,1302071,6,6,72.0,231.0,72.0,0.0,12.0,29.393876913398138,186.0,0.0,38.5,74.46811398175731,232.70620419316612,9.216087294778855,118370.09090909091,235601.30204837772,778383.0,14.0,1269702.0,253940.4,337127.45095482806,822551.0,297.0,1302000.0,260400.0,312402.2998122773,778383.0,287.0,0,0,0,0,200,200,4.608043647389428,4.608043647389428,0.0,186.0,23.307692307692307,53.807348654535744,2895.2307692307695,2,2,0,3,11,0,0,0,1.0,25.25,12.0,38.5,0,0,0,0,0,0,0,0,0,0,42340,83,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.3-10.0.0.1-37316-80-6,10.0.0.3,37316,10.0.0.1,80,6,16/12/2025 11:30:10 AM,1310082,5,5,72.0,231.0,72.0,0.0,14.4,32.19937887599697,186.0,0.0,46.2,80.5431561338392,231.28323265261258,7.633109988535069,145564.66666666666,260719.397007108,789946.0,15.0,1215169.0,303792.25,369285.42534230894,823326.0,51.0,1310012.0,327503.0,327639.90752755787,789946.0,33386.0,0,0,0,0,168,168,3.8165549942675345,3.8165549942675345,0.0,186.0,27.545454545454543,57.8435193195636,3345.8727272727274,1,2,0,3,9,0,0,0,1.0,30.3,14.4,46.2,0,0,0,0,0,0,0,0,0,0,42340,83,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.3-10.0.0.1-37326-80-6,10.0.0.3,37326,10.0.0.1,80,6,16/12/2025 11:30:10 AM,1256736,3,5,72.0,231.0,72.0,0.0,24.0,41.569219381653056,186.0,0.0,46.2,80.5431561338392,241.10075624474828,6.365696534514806,179533.7142857143,364555.0245636061,974948.0,47.0,273758.0,136879.0,187213.5913869503,269259.0,4499.0,1256591.0,314147.75,457657.7591587954,974948.0,4401.0,0,0,0,0,104,168,2.3871362004430523,3.9785603340717537,0.0,186.0,33.666666666666664,62.853003110432205,3950.5000000000005,1,2,0,3,7,0,0,0,1.0,37.875,24.0,46.2,0,0,0,0,0,0,0,0,0,0,42340,83,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.3-10.0.0.1-37244-80-6,10.0.0.3,37244,10.0.0.1,80,6,16/12/2025 11:30:11 AM,1085089,5,5,72.0,231.0,72.0,0.0,14.4,32.19937887599697,186.0,0.0,46.2,80.5431561338392,279.2397674292155,9.215833908554966,120565.44444444444,278761.2748599198,859519.0,14.0,1018085.0,254521.25,412326.5965553479,870599.0,49.0,1085026.0,271256.5,400384.8560643455,859519.0,11084.0,0,0,0,0,160,160,4.607916954277483,4.607916954277483,0.0,186.0,27.545454545454543,57.8435193195636,3345.8727272727274,2,0,0,3,10,0,0,0,1.0,30.3,14.4,46.2,0,0,0,0,0,0,0,0,0,0,83,83,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.3-10.0.0.1-37358-80-6,10.0.0.3,37358,10.0.0.1,80,6,16/12/2025 11:30:10 AM,1287267,3,4,72.0,231.0,72.0,0.0,24.0,41.569219381653056,186.0,0.0,57.75,88.09228116015613,235.38240318442095,5.4378773012902535,214544.5,404452.30896200857,1009256.0,40.0,277313.0,138656.5,192502.0430034445,274776.0,2537.0,1287227.0,429075.6666666666,521146.45249712036,1009256.0,650.0,0,0,0,0,104,136,2.3305188434101085,3.1073584578801445,0.0,186.0,37.875,65.82322104372764,4332.696428571429,1,2,0,3,6,0,0,0,1.0,43.285714285714285,24.0,57.75,0,0,0,0,0,0,3,72,4,231,42340,83,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.3-10.0.0.1-37264-80-6,10.0.0.3,37264,10.0.0.1,80,6,16/12/2025 11:30:11 AM,1117640,5,5,72.0,231.0,72.0,0.0,14.4,32.19937887599697,186.0,0.0,46.2,80.5431561338392,271.1069754124763,8.947424931104829,124182.22222222222,286470.6221852329,881954.0,24.0,1117406.0,279351.5,463587.79555728886,973539.0,9992.0,1117616.0,279404.0,404979.73565188004,881954.0,10091.0,1,0,0,0,160,160,4.473712465552414,4.473712465552414,0.0,186.0,34.09090909090909,58.484963102415556,3420.4909090909086,2,0,0,3,10,0,0,0,1.0,37.5,14.4,46.2,0,0,0,0,0,0,0,0,0,0,83,83,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.3-10.0.0.1-37384-80-6,10.0.0.3,37384,10.0.0.1,80,6,16/12/2025 11:30:11 AM,1208071,5,6,72.0,231.0,72.0,0.0,14.4,32.19937887599697,186.0,0.0,38.5,74.46811398175731,250.81307307269194,9.105425095048222,120807.09999999998,286050.16771167563,924714.0,11.0,1167845.0,291961.25,451252.0236463396,963152.0,708.0,1208035.0,241607.0,385813.44557506026,924714.0,692.0,0,0,0,0,168,200,4.138829588658282,4.96659550638994,0.0,186.0,25.25,55.72191506204555,3104.931818181818,1,2,0,3,10,0,0,0,1.0,27.545454545454547,14.4,38.5,0,0,0,0,0,0,0,0,0,0,42340,85,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.3-10.0.0.1-37342-80-6,10.0.0.3,37342,10.0.0.1,80,6,16/12/2025 11:30:10 AM,1388313,4,5,72.0,231.0,72.0,0.0,18.0,36.0,186.0,0.0,46.2,80.5431561338392,218.25049538540662,6.482687981744751,173539.125,341850.7003091251,996698.0,20.0,1344476.0,448158.6666666667,549676.9432369648,1071828.0,34235.0,1388283.0,347070.75,444780.31340679864,996698.0,43817.0,0,0,0,0,136,168,2.881194658553223,3.6014933231915283,0.0,186.0,30.299999999999997,60.207142433435585,3624.9,1,2,0,3,8,0,0,0,1.0,33.666666666666664,18.0,46.2,0,0,0,0,0,0,0,0,0,0,42340,83,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.0.0.3-10.0.0.1-37306-80-6,10.0.0.3,37306,10.0.0.1,80,6,16/12/2025 11:30:10 AM,1460050,4,6,72.0,231.0,72.0,0.0,18.0,36.0,186.0,0.0,38.5,74.46811398175731,207.52713948152459,6.8490805109414055,162227.77777777778,325826.7477647353,990290.0,14.0,1375857.0,458619.0,549499.6120872152,1068937.0,3181.0,1459985.0,291997.0,406661.60232741426,990290.0,503.0,0,0,0,0,136,200,2.739632204376562,4.109448306564843,0.0,186.0,27.545454545454547,57.8435193195636,3345.8727272727274,1,2,0,3,9,0,0,0,1.0,30.3,18.0,38.5,0,0,0,0,0,0,0,0,0,0,42340,85,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
